target,position,layer,r2,r2_shuffled,r2_random
answer,q_last,0,-0.0048675607623573924,-0.002855730932946887,-0.004867560511782276
s1,q_last,0,-0.00293969799723226,-0.0026852651338342692,-0.002939692562290208
s2,q_last,0,-0.005703882928610682,-0.002405033821267777,-0.00570387390184357
answer~nonlin,q_last,0,-0.0031168368295817483,-0.0034567765999091726,-0.003116836814188728
s1~nonlin,q_last,0,-0.00044893543823532056,-0.001255450368863098,-0.0004489350842189488
s2~nonlin,q_last,0,-0.0031168368295815263,-0.0006806065207818346,-0.003116836814188728
answer,q_last,2,0.9581608184603175,0.003591003422379613,0.832525518912203
s1,q_last,2,0.9831723207696115,-0.0003677450025791895,0.8502698317722246
s2,q_last,2,0.9594346461353096,-0.009250721660523986,0.8528175347993361
answer~nonlin,q_last,2,-0.017248647962513797,-0.0026521609275318436,-0.004910489514811545
s1~nonlin,q_last,2,0.7009908828728617,-0.007723892395740561,0.5914128053474469
s2~nonlin,q_last,2,-0.017248647962513797,-0.009698310459109516,-0.0049104895148113226
answer,q_last,4,0.9515311917158757,-0.001887473260463457,0.8090886369790362
s1,q_last,4,0.9834595520805609,-0.0021952965521643275,0.886494169212723
s2,q_last,4,0.9518255911087672,-0.014206844221479775,0.8196052629886089
answer~nonlin,q_last,4,0.028774947950633845,-0.004339862984717779,-0.012096183822978945
s1~nonlin,q_last,4,0.7182005716348536,-0.005456247623049526,0.6819431446893431
s2~nonlin,q_last,4,0.028774947950633956,-0.010534123402640372,-0.012096183822979167
answer,q_last,6,0.9443190950868836,-0.010586438858732894,0.8277663946716189
s1,q_last,6,0.9827087086859901,-0.0035679048336922925,0.9145659659115117
s2,q_last,6,0.944117957617989,-0.015412432445476298,0.8272768567773555
answer~nonlin,q_last,6,-0.008484953120457828,-0.004348522484748818,0.007238138320069587
s1~nonlin,q_last,6,0.7190816908729936,-0.006889253986141597,0.6914879153009575
s2~nonlin,q_last,6,-0.008484953120457828,-0.009992451411905412,0.007238138320069698
answer,q_last,8,0.9346327091018112,-0.019047324800245846,0.8064712474283665
s1,q_last,8,0.9809479478738773,-0.006975910583872702,0.8814635497307114
s2,q_last,8,0.9368704473728635,-0.019188383290318578,0.8200436418673447
answer~nonlin,q_last,8,0.003963343912050554,-0.0028596858072771347,-0.004281661741939002
s1~nonlin,q_last,8,0.7246052819086402,-0.005335633961266684,0.68459967237189
s2~nonlin,q_last,8,0.003963343912050665,-0.012932836394351721,-0.004281661741939002
answer,q_last,10,0.9309149203913321,-0.012315609088302093,0.7217091266479575
s1,q_last,10,0.9802458253354035,-0.006897204311100635,0.8657660009013655
s2,q_last,10,0.9348519653720389,-0.02268183163694193,0.7271348680309753
answer~nonlin,q_last,10,-0.007617296164058818,-0.0010181234489006208,0.00439848002909049
s1~nonlin,q_last,10,0.7196055565555094,-0.0036463762101741626,0.6416517020873265
s2~nonlin,q_last,10,-0.007617296164058818,-0.007917646634727937,0.004398480029090268
answer,q_last,12,0.9364734586650372,-0.012679362259002236,0.8009790639567952
s1,q_last,12,0.9756390592654346,-0.010365887653546624,0.8894789684966458
s2,q_last,12,0.9412953659045017,-0.02264069514145084,0.8060655468920984
answer~nonlin,q_last,12,0.00449303114027455,-0.0015611303448079816,-0.007624523560786134
s1~nonlin,q_last,12,0.7141548940652325,-0.0016615134630661998,0.6318727754199713
s2~nonlin,q_last,12,0.00449303114027455,-0.009200955353829032,-0.007624523560786134
answer,q_last,14,0.9348789144400028,-0.009606528742102327,0.8278893090572015
s1,q_last,14,0.9782116012242562,-0.009147867549853306,0.9138219707193074
s2,q_last,14,0.93936734942163,-0.02037550594158577,0.8315818798418804
answer~nonlin,q_last,14,0.010156407181986071,-0.00428317303228809,0.012827731071118897
s1~nonlin,q_last,14,0.7209274264119343,-0.0005540814141584693,0.6450462063270597
s2~nonlin,q_last,14,0.010156407181986071,-0.010725153065606507,0.01282773107111923
answer,q_last,16,0.9398745466644093,-0.007115423845436952,0.8688882465598942
s1,q_last,16,0.9789891631017332,-0.014176041313081145,0.9236312504733996
s2,q_last,16,0.9456018441335503,-0.020294447764624968,0.8678285426851654
answer~nonlin,q_last,16,0.013935498447195882,-0.006989129212364276,8.789861043001501e-05
s1~nonlin,q_last,16,0.7183106154124983,0.0006118540723654142,0.6609643850524661
s2~nonlin,q_last,16,0.013935498447196104,-0.009612753666279783,8.789861043001501e-05
answer,q_last,18,0.9388648458847414,-0.007889531436131803,0.8597638337878963
s1,q_last,18,0.9754197844745573,-0.017788268267348695,0.9166723072172293
s2,q_last,18,0.9435154431285901,-0.020685304529676207,0.8504164642174068
answer~nonlin,q_last,18,0.007469601291848149,-0.006837430196013905,0.013164489653746947
s1~nonlin,q_last,18,0.7147724296735094,0.0005432185532291411,0.670950243244427
s2~nonlin,q_last,18,0.007469601291848149,-0.006996480816322093,0.013164489653747058
answer,q_last,20,0.9421144262330771,-0.00915649263994367,0.8671218715755201
s1,q_last,20,0.9710258701136016,-0.01601224086559827,0.8837740530235714
s2,q_last,20,0.9433831511513385,-0.019686339360969196,0.8502727099505563
answer~nonlin,q_last,20,0.0521840336935383,-0.008571373435629859,0.033483160412771884
s1~nonlin,q_last,20,0.7196214832012213,-0.0027418459737706957,0.6006001066665143
s2~nonlin,q_last,20,0.052184033693538634,-0.006768550982478638,0.033483160412772106
answer,q_last,22,0.9450292638543879,-0.007846492636111035,0.8707286134168141
s1,q_last,22,0.9695460105071261,-0.009229895594244475,0.891848324938244
s2,q_last,22,0.9454331774754174,-0.016778032679933386,0.8683701277154124
answer~nonlin,q_last,22,0.05153822829095045,-0.005579751718959303,0.0159284100127689
s1~nonlin,q_last,22,0.7187056670683072,-0.005314217990425973,0.5964976420586138
s2~nonlin,q_last,22,0.05153822829095067,-0.007468901528491223,0.0159284100127689
answer,q_last,24,0.9487050494835535,-0.004047773943157473,0.8850950676146524
s1,q_last,24,0.9820204345243448,-0.00939619662880431,0.9053102204286586
s2,q_last,24,0.9534158254150836,-0.014772432913504607,0.8884510317991007
answer~nonlin,q_last,24,0.031139854622901364,-0.01043254379321601,0.008025461934947464
s1~nonlin,q_last,24,0.7296313116163121,-0.006735970654504486,0.6352717038150948
s2~nonlin,q_last,24,0.031139854622901364,-0.0055646412640952825,0.008025461934947464
answer,q_last,26,0.9502180712914725,-0.004160724019902862,0.8797371723780241
s1,q_last,26,0.9851663886500592,-0.008439778938200693,0.9240121031707818
s2,q_last,26,0.9539508786475153,-0.016503944242550528,0.8868810163229517
answer~nonlin,q_last,26,0.01633634463495992,-0.011017909753645139,0.0033205229130254255
s1~nonlin,q_last,26,0.7277896398054982,-0.008026494055398459,0.6823174837140141
s2~nonlin,q_last,26,0.01633634463496003,-0.0042089585126552365,0.0033205229130254255
answer,q_last,28,0.9497783827545923,-0.005139042013981632,0.8663568116366318
s1,q_last,28,0.9834799355667293,-0.007641876778297307,0.9220276791351113
s2,q_last,28,0.952347910455492,-0.016631609473535036,0.8648082979581986
answer~nonlin,q_last,28,0.040185549032788925,-0.010696665579662312,0.014874508169748113
s1~nonlin,q_last,28,0.725365722483157,-0.007188520061472303,0.6729542885507287
s2~nonlin,q_last,28,0.04018554903278915,-0.004238236777188931,0.014874508169748113
answer,final,0,-0.0048675607623573924,-0.002855730932946887,-0.004867560511782276
s1,final,0,-0.00293969799723226,-0.0026852651338342692,-0.002939692562290208
s2,final,0,-0.005703882928610682,-0.002405033821267777,-0.00570387390184357
answer~nonlin,final,0,-0.0031168368295817483,-0.0034567765999091726,-0.003116836814188728
s1~nonlin,final,0,-0.00044893543823532056,-0.001255450368863098,-0.0004489350842189488
s2~nonlin,final,0,-0.0031168368295815263,-0.0006806065207818346,-0.003116836814188728
answer,final,2,0.9326012119231525,0.003688769317861551,0.7209168724567351
s1,final,2,0.9692755049733909,-0.0030278225017783544,0.7405649204914313
s2,final,2,0.943273435698837,-0.007890875724588575,0.7817098736404913
answer~nonlin,final,2,-0.021763800447004655,-0.0031165693064720834,-0.016043246440869074
s1~nonlin,final,2,0.6970218654230009,-0.008294375224356498,0.5362000275110779
s2~nonlin,final,2,-0.021763800447004655,-0.0068433914465309,-0.016043246440869074
answer,final,4,0.9247666859120239,0.0021391130841244,0.6048668585306434
s1,final,4,0.970656277561547,-0.004321252500905093,0.7833567740128534
s2,final,4,0.9385437251430157,-0.014551351704759519,0.6823243105399559
answer~nonlin,final,4,-0.006704125501040492,-0.004141956985485251,-0.01145629034332818
s1~nonlin,final,4,0.7018689571715413,-0.009305633330181529,0.6156450075811415
s2~nonlin,final,4,-0.006704125501040492,-0.0050908571248504675,-0.01145629034332818
answer,final,6,0.9023953233307475,-0.0012931416543464636,0.6149373512676639
s1,final,6,0.9629984025653283,-0.010652186447556833,0.7964380995141527
s2,final,6,0.9137524927050996,-0.011095351615542759,0.6835825553671083
answer~nonlin,final,6,-0.0026770911611202486,-0.0058017507286864944,-0.007317782593186273
s1~nonlin,final,6,0.692402926095357,-0.00752149222100118,0.5952492268527608
s2~nonlin,final,6,-0.0026770911611204706,-0.0017663608520210872,-0.007317782593186051
answer,final,8,0.9043654855105799,-0.009378821530590997,0.7174148332989561
s1,final,8,0.9654301213777623,-0.008226744858194301,0.83621623545493
s2,final,8,0.9150151381496638,-0.013899037855181096,0.7575564325053362
answer~nonlin,final,8,-0.001231601120865733,-0.0050348578920393905,0.0023088446224271975
s1~nonlin,final,8,0.7035603834231474,-0.0078079750663822,0.5896308866594849
s2~nonlin,final,8,-0.001231601120865733,-0.0059833164090628,0.0023088446224271975
answer,final,10,0.8963661152021821,-0.011130951856844762,0.6691499259134752
s1,final,10,0.9588629633206306,-0.006208713461466564,0.8163584148085963
s2,final,10,0.912714282507805,-0.016245523008257212,0.714394212065694
answer~nonlin,final,10,-0.0029906933498087263,-0.007017854060509698,-0.004104454113133649
s1~nonlin,final,10,0.7084309857475796,-0.009010412683168045,0.6112930957353448
s2~nonlin,final,10,-0.002990693349808504,-0.00241688390851702,-0.004104454113133871
answer,final,12,0.9154366470875154,-0.009610207605940335,0.7415317928828037
s1,final,12,0.9708555609464563,-0.0022882074868004754,0.8673171306494523
s2,final,12,0.9261876579809226,-0.016571214088458186,0.7628899304351
answer~nonlin,final,12,-0.00869751499400162,-0.009792223180996817,-0.004295407796951478
s1~nonlin,final,12,0.7014088780504788,-0.007720839397783674,0.610402871295121
s2~nonlin,final,12,-0.00869751499400162,-0.004876318159391602,-0.004295407796951478
answer,final,14,0.9360958186987365,-0.004156432848147595,0.8469966836601716
s1,final,14,0.9731193954498266,-0.008534620880076504,0.9279204382387546
s2,final,14,0.9416015276110598,-0.015084562360355713,0.8666507837290509
answer~nonlin,final,14,-0.018144925622508357,-0.010624448249302754,-0.014217772326880596
s1~nonlin,final,14,0.711784623589286,-0.0055155236405943775,0.6704134867388882
s2~nonlin,final,14,-0.018144925622508357,-0.008895902875995843,-0.014217772326880596
