target,position,layer,r2,r2_shuffled,r2_random
answer,q_last,0,-0.0026592564352803105,-0.003598300369890728,-0.0026592566951793017
x,q_last,0,-0.0012744977676375502,-0.002669757150449481,-0.001274496583314244
c1x,q_last,0,-0.0037543809935178807,-0.0018025359314133294,-0.0037543919159335193
y,q_last,0,-0.003074428114614891,-0.004625889311055786,-0.003074429272652557
c2y,q_last,0,-0.002784634670901065,-0.007699150853651027,-0.0027846394713573197
answer~nonlin,q_last,0,-0.002347746354684599,-0.0014925902352649345,-0.002347746354460334
x~nonlin,q_last,0,-0.0012594208363394532,-0.003262506525044895,-0.001259420825585389
c1x~nonlin,q_last,0,-0.0021143474019800212,-0.003542573369121893,-0.0021143474314408994
y~nonlin,q_last,0,-0.0028666543540414313,-0.005634771239459324,-0.002866654260925472
c2y~nonlin,q_last,0,-0.002504150376193115,-0.0016456858389066742,-0.002504150346488432
answer,q_last,2,0.12193240874777722,-0.01599247535765813,0.0886884927932925
x,q_last,2,-0.003641367755430114,-0.0069964174765593246,-0.004944749847579422
c1x,q_last,2,-0.00012158252496852207,-0.006140011700623393,-0.0007127189058697692
y,q_last,2,0.006275638809187023,-0.010022756024629098,0.014377005136968712
c2y,q_last,2,0.11544125870380828,-0.008283178929079371,0.07914188390369425
answer~nonlin,q_last,2,-0.009356004266334095,-0.002231572984664476,-0.002794366776223578
x~nonlin,q_last,2,-0.0025240012003897583,-0.007467044835984815,-0.0032479877949227465
c1x~nonlin,q_last,2,0.0036755751515391566,-0.013943756525433226,0.0022323852703661773
y~nonlin,q_last,2,-0.0028351245938234015,-0.006331699597194929,-0.003310510075894557
c2y~nonlin,q_last,2,-0.00552515018236166,-0.008590090219753765,-0.0026666822034147053
answer,q_last,4,0.09281149314905124,-0.007049544714033074,0.036668176650330175
x,q_last,4,-0.0013802651582324188,-0.005992308894899434,-0.0013154313313479271
c1x,q_last,4,-0.004079773010114751,-0.01011807857376823,-0.007826603322210746
y,q_last,4,0.0014170021318713477,-0.009229067347561015,-0.007889155157221106
c2y,q_last,4,0.08658435961483757,-0.008779306780821061,0.03209720837380048
answer~nonlin,q_last,4,-0.014184624902942033,-0.008197190661948017,-0.004855838565567705
x~nonlin,q_last,4,-0.0072214704485673575,-0.0034408019690699287,-0.012602506528131219
c1x~nonlin,q_last,4,0.0029439038364272863,-0.013550603935992944,-0.0010667743916314976
y~nonlin,q_last,4,-0.003510519037959847,-0.014669189818955486,-0.01011893687004739
c2y~nonlin,q_last,4,-0.0115952783632145,-0.010811019628403917,-0.008151762097902138
answer,q_last,6,0.08192487035243323,-0.0063951471925132175,0.05991947638595285
x,q_last,6,-0.00020661011648481775,-0.0016047048033369649,-0.0012229527538072382
c1x,q_last,6,0.0019580705333938075,-0.009809157161214443,-0.0013241858740116186
y,q_last,6,0.0063789425427344115,-0.012094796088503834,0.0065519014016584
c2y,q_last,6,0.07798169919665066,-0.004454656974610671,0.056241980780583734
answer~nonlin,q_last,6,-0.014526172855692465,-0.007690117463547974,-0.0035546105945947204
x~nonlin,q_last,6,0.006247813907733435,-0.004368230887350499,0.00487975382314465
c1x~nonlin,q_last,6,0.0006965378983011528,-0.011021060142275552,-0.007231753249262063
y~nonlin,q_last,6,-0.0057464336449446485,-0.011734057418156585,-0.005020067126589867
c2y~nonlin,q_last,6,-0.012659647164085186,-0.011878997510007538,-0.00509140927365781
answer,q_last,8,0.09205837617872425,-0.009763562615316523,0.05900285379636705
x,q_last,8,0.0040171976098666295,-0.012219888696625825,-0.0009005322937003513
c1x,q_last,8,0.0034434747492121387,-0.008683352548677359,0.0025869564194103134
y,q_last,8,0.013806821080258436,-0.016963976097536193,0.002919672803582851
c2y,q_last,8,0.08555576424847411,-0.012199263790943382,0.05789513380295397
answer~nonlin,q_last,8,-0.01031460744710655,-0.011006194628576216,-0.002651074348206217
x~nonlin,q_last,8,0.019008776840475083,-0.006739641512170769,0.016012217321578093
c1x~nonlin,q_last,8,-0.000705744938542141,-0.011965864795979053,-0.010406776857254663
y~nonlin,q_last,8,-0.007435178397214637,-0.012040276142992079,-0.0083895775982048
c2y~nonlin,q_last,8,-0.010029280119074002,-0.015615759923060413,-0.0029324511198731695
answer,q_last,10,0.13405891004518877,-0.009800619003758948,0.057131626787903955
x,q_last,10,0.057105792236850306,-0.011103965499018598,0.019422550583805154
c1x,q_last,10,0.06959058994095435,-0.00660096342895633,0.017612134477461572
y,q_last,10,0.0715296624958639,-0.014321986039701029,0.011971913708931026
c2y,q_last,10,0.13052086511776972,-0.016042528071338102,0.05425464029519145
