target,position,layer,top1_first_digit,top1_shuffled
answer,q_last,0,0.521,0.521
s1,q_last,0,0.009,0.009
s2,q_last,0,0.619,0.619
answer,q_last,1,0.137,0.135
s1,q_last,1,0.038,0.058
s2,q_last,1,0.141,0.124
answer,q_last,2,0.097,0.094
s1,q_last,2,0.084,0.098
s2,q_last,2,0.092,0.092
answer,q_last,3,0.1,0.123
s1,q_last,3,0.129,0.12
s2,q_last,3,0.096,0.13
answer,q_last,4,0.071,0.109
s1,q_last,4,0.112,0.095
s2,q_last,4,0.056,0.102
answer,q_last,5,0.071,0.133
s1,q_last,5,0.117,0.102
s2,q_last,5,0.059,0.115
answer,q_last,6,0.085,0.118
s1,q_last,6,0.114,0.108
s2,q_last,6,0.078,0.118
answer,q_last,7,0.082,0.088
s1,q_last,7,0.1,0.114
s2,q_last,7,0.088,0.106
answer,q_last,8,0.096,0.073
s1,q_last,8,0.122,0.098
s2,q_last,8,0.064,0.094
answer,q_last,9,0.097,0.101
s1,q_last,9,0.116,0.105
s2,q_last,9,0.072,0.099
answer,q_last,10,0.116,0.109
s1,q_last,10,0.12,0.077
s2,q_last,10,0.108,0.095
answer,q_last,11,0.11,0.087
s1,q_last,11,0.102,0.073
s2,q_last,11,0.075,0.084
answer,q_last,12,0.091,0.102
s1,q_last,12,0.13,0.088
s2,q_last,12,0.072,0.106
answer,q_last,13,0.07,0.078
s1,q_last,13,0.142,0.096
s2,q_last,13,0.046,0.076
answer,q_last,14,0.091,0.091
s1,q_last,14,0.142,0.116
s2,q_last,14,0.061,0.082
answer,q_last,15,0.064,0.112
s1,q_last,15,0.153,0.087
s2,q_last,15,0.067,0.109
answer,q_last,16,0.075,0.119
s1,q_last,16,0.161,0.089
s2,q_last,16,0.075,0.113
answer,q_last,17,0.076,0.098
s1,q_last,17,0.142,0.097
s2,q_last,17,0.068,0.099
answer,q_last,18,0.091,0.119
s1,q_last,18,0.134,0.102
s2,q_last,18,0.093,0.108
answer,q_last,19,0.08,0.155
s1,q_last,19,0.121,0.096
s2,q_last,19,0.095,0.157
answer,q_last,20,0.069,0.132
s1,q_last,20,0.1,0.083
s2,q_last,20,0.09,0.123
answer,q_last,21,0.078,0.14
s1,q_last,21,0.101,0.09
s2,q_last,21,0.094,0.152
answer,q_last,22,0.072,0.098
s1,q_last,22,0.082,0.082
s2,q_last,22,0.072,0.123
answer,q_last,23,0.083,0.112
s1,q_last,23,0.106,0.074
s2,q_last,23,0.097,0.141
answer,q_last,24,0.04,0.12
s1,q_last,24,0.062,0.1
s2,q_last,24,0.056,0.12
answer,q_last,25,0.044,0.119
s1,q_last,25,0.076,0.101
s2,q_last,25,0.06,0.129
answer,q_last,26,0.037,0.11
s1,q_last,26,0.064,0.104
s2,q_last,26,0.04,0.112
answer,q_last,27,0.037,0.093
s1,q_last,27,0.064,0.095
s2,q_last,27,0.033,0.096
answer,q_last,28,0.039,0.099
s1,q_last,28,0.055,0.072
s2,q_last,28,0.046,0.121
answer,dot_0,0,0.029,0.029
s1,dot_0,0,0.105,0.105
s2,dot_0,0,0.003,0.003
answer,dot_0,1,0.113,0.099
s1,dot_0,1,0.079,0.077
s2,dot_0,1,0.122,0.121
answer,dot_0,2,0.113,0.101
s1,dot_0,2,0.091,0.088
s2,dot_0,2,0.112,0.118
answer,dot_0,3,0.123,0.156
s1,dot_0,3,0.096,0.098
s2,dot_0,3,0.131,0.173
answer,dot_0,4,0.1,0.118
s1,dot_0,4,0.107,0.073
s2,dot_0,4,0.087,0.139
answer,dot_0,5,0.112,0.139
s1,dot_0,5,0.076,0.094
s2,dot_0,5,0.113,0.151
answer,dot_0,6,0.099,0.109
s1,dot_0,6,0.111,0.068
s2,dot_0,6,0.1,0.11
answer,dot_0,7,0.131,0.147
s1,dot_0,7,0.099,0.058
s2,dot_0,7,0.143,0.178
answer,dot_0,8,0.11,0.107
s1,dot_0,8,0.137,0.087
s2,dot_0,8,0.097,0.103
answer,dot_0,9,0.121,0.13
s1,dot_0,9,0.136,0.094
s2,dot_0,9,0.113,0.14
answer,dot_0,10,0.115,0.123
s1,dot_0,10,0.106,0.061
s2,dot_0,10,0.102,0.142
answer,dot_0,11,0.125,0.103
s1,dot_0,11,0.092,0.076
s2,dot_0,11,0.102,0.129
answer,dot_0,12,0.098,0.102
s1,dot_0,12,0.104,0.078
s2,dot_0,12,0.074,0.113
answer,dot_0,13,0.087,0.092
s1,dot_0,13,0.116,0.093
s2,dot_0,13,0.069,0.076
answer,dot_0,14,0.121,0.115
s1,dot_0,14,0.124,0.088
s2,dot_0,14,0.11,0.107
answer,dot_0,15,0.082,0.108
s1,dot_0,15,0.138,0.101
s2,dot_0,15,0.073,0.106
answer,dot_0,16,0.073,0.111
s1,dot_0,16,0.15,0.096
s2,dot_0,16,0.07,0.083
answer,dot_0,17,0.065,0.085
s1,dot_0,17,0.118,0.098
s2,dot_0,17,0.056,0.064
answer,dot_0,18,0.105,0.096
s1,dot_0,18,0.138,0.097
s2,dot_0,18,0.081,0.095
answer,dot_0,19,0.108,0.119
s1,dot_0,19,0.129,0.113
s2,dot_0,19,0.103,0.096
answer,dot_0,20,0.138,0.138
s1,dot_0,20,0.115,0.097
s2,dot_0,20,0.128,0.14
answer,dot_0,21,0.149,0.16
s1,dot_0,21,0.084,0.088
s2,dot_0,21,0.191,0.163
answer,dot_0,22,0.133,0.121
s1,dot_0,22,0.097,0.093
s2,dot_0,22,0.127,0.104
answer,dot_0,23,0.128,0.125
s1,dot_0,23,0.098,0.099
s2,dot_0,23,0.122,0.126
answer,dot_0,24,0.141,0.123
s1,dot_0,24,0.097,0.09
s2,dot_0,24,0.141,0.128
answer,dot_0,25,0.19,0.166
s1,dot_0,25,0.08,0.081
s2,dot_0,25,0.196,0.182
answer,dot_0,26,0.091,0.084
s1,dot_0,26,0.09,0.106
s2,dot_0,26,0.085,0.085
answer,dot_0,27,0.083,0.111
s1,dot_0,27,0.066,0.097
s2,dot_0,27,0.107,0.114
answer,dot_0,28,0.108,0.129
s1,dot_0,28,0.088,0.079
s2,dot_0,28,0.115,0.164
answer,dot_1,0,0.029,0.029
s1,dot_1,0,0.105,0.105
s2,dot_1,0,0.003,0.003
answer,dot_1,1,0.059,0.067
s1,dot_1,1,0.109,0.098
s2,dot_1,1,0.041,0.074
answer,dot_1,2,0.131,0.137
s1,dot_1,2,0.082,0.081
s2,dot_1,2,0.129,0.158
answer,dot_1,3,0.123,0.172
s1,dot_1,3,0.103,0.093
s2,dot_1,3,0.126,0.176
answer,dot_1,4,0.096,0.109
s1,dot_1,4,0.11,0.087
s2,dot_1,4,0.097,0.127
answer,dot_1,5,0.111,0.134
s1,dot_1,5,0.104,0.078
s2,dot_1,5,0.112,0.138
answer,dot_1,6,0.095,0.105
s1,dot_1,6,0.099,0.081
s2,dot_1,6,0.104,0.123
