target,position,layer,r2,r2_shuffled,r2_random
answer,q_last,0,-0.0048675607623573924,-0.002855730932946887,-0.004867560511782276
s1,q_last,0,-0.00293969799723226,-0.0026852651338342692,-0.002939692562290208
s2,q_last,0,-0.005703882928610682,-0.002405033821267777,-0.00570387390184357
answer~nonlin,q_last,0,-0.0031168368295817483,-0.0034567765999091726,-0.003116836814188728
s1~nonlin,q_last,0,-0.00044893543823532056,-0.001255450368863098,-0.0004489350842189488
s2~nonlin,q_last,0,-0.0031168368295815263,-0.0006806065207818346,-0.003116836814188728
answer,q_last,2,0.9594601115409379,0.00343586777760585,0.8186985106108782
s1,q_last,2,0.9861593865065046,-0.0010579097853637975,0.8349998974367501
s2,q_last,2,0.9599749061671682,-0.00913065316891637,0.8391624365833859
answer~nonlin,q_last,2,-0.01846923627770547,-0.0030431927273819603,-0.004689997032217397
s1~nonlin,q_last,2,0.7007285783932531,-0.007455845569066311,0.5806184487408659
s2~nonlin,q_last,2,-0.01846923627770547,-0.009383839353312107,-0.004689997032217397
answer,q_last,4,0.9435377400960372,0.0013166311296568534,0.7691232511030834
s1,q_last,4,0.9824600172395264,-0.0029852751479564343,0.8599835124120794
s2,q_last,4,0.943402228611495,-0.013446369172155803,0.7812014248514374
answer~nonlin,q_last,4,-0.01737620136595308,-0.005260177567059099,-0.0083797581752596
s1~nonlin,q_last,4,0.7137180967896306,-0.005593748385071429,0.6700049956212573
s2~nonlin,q_last,4,-0.01737620136595308,-0.008480166923976906,-0.0083797581752596
answer,q_last,6,0.9519169447376671,-0.006348960056815178,0.8250913515542219
s1,q_last,6,0.9831126452138407,-0.005015653070333803,0.9142349746455634
s2,q_last,6,0.951007307199633,-0.013368808445364033,0.8183421495977311
answer~nonlin,q_last,6,-0.009623858327447277,-0.006479663347963571,-0.011972496912796782
s1~nonlin,q_last,6,0.7114097466494407,-0.005966877920014824,0.680612018832916
s2~nonlin,q_last,6,-0.009623858327447055,-0.006735036153351359,-0.01197249691279656
answer,q_last,8,0.930742223312468,-0.014157400179894308,0.7951898592233468
s1,q_last,8,0.9771063372133977,-0.012770348219586225,0.8613700598101456
s2,q_last,8,0.9325289050285887,-0.018906667204892758,0.8034894484782168
answer~nonlin,q_last,8,0.00580876949042719,-0.00557489377951681,-0.001998244884841016
s1~nonlin,q_last,8,0.7211389019302152,-0.004843936418920558,0.653941963327296
s2~nonlin,q_last,8,0.005808769490427412,-0.010382317519460837,-0.001998244884840794
answer,q_last,10,0.9293996930144685,-0.012096896485585429,0.7297391873104165
s1,q_last,10,0.976389869559701,-0.006729233165382542,0.8745070937581249
s2,q_last,10,0.9341165599786821,-0.021592468848175672,0.7305665153614049
answer~nonlin,q_last,10,-0.006821591680229222,-0.003264026323196667,0.006608200752986959
s1~nonlin,q_last,10,0.7122377687106471,-0.001625374710821026,0.6499854212198419
s2~nonlin,q_last,10,-0.006821591680229222,-0.00728264302306858,0.006608200752987181
answer,q_last,12,0.9373497516247148,-0.009883870095853453,0.8036287788484641
s1,q_last,12,0.9738466285257535,-0.006754678250574742,0.8989361914932481
s2,q_last,12,0.9432748246344013,-0.02199607294952166,0.815251603200372
answer~nonlin,q_last,12,-0.0011163855984277493,-0.0031394577967536197,-0.013589314806648822
s1~nonlin,q_last,12,0.7110418995687309,-0.0006122060889883763,0.6423352347134981
s2~nonlin,q_last,12,-0.0011163855984277493,-0.007819016744595064,-0.013589314806649044
answer,q_last,14,0.9380550837704046,-0.0071610623561564335,0.8580399854692964
s1,q_last,14,0.9790168215195992,-0.008760352698357066,0.9143890013735706
s2,q_last,14,0.9428925178376203,-0.02000154932775211,0.8623111068886968
answer~nonlin,q_last,14,0.01133137817895391,-0.005584441616064639,0.001971639988340601
s1~nonlin,q_last,14,0.7156681062250945,-0.002184110941686468,0.641933705974471
s2~nonlin,q_last,14,0.011331378178954132,-0.010230084747165469,0.001971639988340823
answer,q_last,16,0.9431419362519325,-0.006923198610649717,0.8664292041135839
s1,q_last,16,0.9780301144969328,-0.013890445170042343,0.9214192681087877
s2,q_last,16,0.9472668628818948,-0.019965071749278307,0.8691734770495976
answer~nonlin,q_last,16,0.012442128588093682,-0.007618902967868824,0.013973159063132234
s1~nonlin,q_last,16,0.7134016763339703,-0.0013766345015220338,0.6678789771557241
s2~nonlin,q_last,16,0.012442128588093682,-0.008003290694548193,0.013973159063132234
answer,q_last,18,0.9443184832615913,-0.0072801301766911575,0.866998583471719
s1,q_last,18,0.9776607929998877,-0.009954841911748558,0.9184317275041243
s2,q_last,18,0.9484778805114737,-0.02187683586286604,0.8645680994557943
answer~nonlin,q_last,18,0.013699759865751227,-0.007640527641221251,0.02295036693994823
s1~nonlin,q_last,18,0.7090091543341139,0.00037521185431055315,0.6571605752448734
s2~nonlin,q_last,18,0.013699759865751227,-0.006564977366952052,0.02295036693994823
answer,q_last,20,0.9411563870464338,-0.009951759141146876,0.853768883755804
s1,q_last,20,0.9724720383740925,-0.00968155764788503,0.873322428708723
s2,q_last,20,0.9430817571724882,-0.01764815062470304,0.8455290386146892
answer~nonlin,q_last,20,0.039448455420411976,-0.011039743196999297,0.04979137300423353
s1~nonlin,q_last,20,0.7075665463594218,-0.0012258683668437964,0.6049765111999904
s2~nonlin,q_last,20,0.03944845542041209,-0.005148613248357137,0.049791373004233974
answer,q_last,22,0.944731616598499,-0.010425022304339615,0.8284062244903966
s1,q_last,22,0.9726294097808296,-0.013678554527200681,0.8484283598137664
s2,q_last,22,0.9477688637597341,-0.016825151659306092,0.8175085367955437
answer~nonlin,q_last,22,0.04929755039761641,-0.013953993746111948,0.03251342837366322
s1~nonlin,q_last,22,0.7068846067374979,-0.0019016336091588482,0.6373278155276187
s2~nonlin,q_last,22,0.04929755039761663,-0.0050355650106272964,0.032513428373663555
answer,q_last,24,0.9475720912948642,-0.0050321869451603884,0.822416800445608
s1,q_last,24,0.9782580444220872,-0.009455066761657749,0.8559384677536997
s2,q_last,24,0.9518496670399411,-0.014212471299177132,0.8354439038030432
answer~nonlin,q_last,24,0.03824667843220331,-0.015173416442523235,0.00244498749255595
s1~nonlin,q_last,24,0.7168348268732816,-0.00399697362781315,0.6461359400520827
s2~nonlin,q_last,24,0.03824667843220331,-0.006417696407547968,0.002444987492556061
answer,q_last,26,0.9445699806426667,-0.00471059147184727,0.862229385826166
s1,q_last,26,0.9770661977095425,-0.01016020974381382,0.8663720138324402
s2,q_last,26,0.9494956852573881,-0.01434946046868002,0.8656683912661922
answer~nonlin,q_last,26,0.024370309009046465,-0.015727105767572525,0.02096267170843924
s1~nonlin,q_last,26,0.707719741143888,-0.003151980913731256,0.6421314967882014
s2~nonlin,q_last,26,0.024370309009046576,-0.00601412793192968,0.020962671708439462
answer,q_last,28,0.942646510310794,-0.005106591720614784,0.8566586880935175
s1,q_last,28,0.9698179117674286,-0.009978611117861025,0.8473967422606291
s2,q_last,28,0.946445164958738,-0.016249608670780846,0.85783812632729
answer~nonlin,q_last,28,0.027031776573315347,-0.014111351686268536,0.04383748244364416
s1~nonlin,q_last,28,0.708664114840161,-0.0018475624966562965,0.6356972350488226
s2~nonlin,q_last,28,0.027031776573315347,-0.005926882685629131,0.04383748244364405
answer,dot_0,0,-0.0048675607623573924,-0.002855730932946887,-0.004867560511782276
s1,dot_0,0,-0.00293969799723226,-0.0026852651338342692,-0.002939692562290208
s2,dot_0,0,-0.005703882928610682,-0.002405033821267777,-0.00570387390184357
answer~nonlin,dot_0,0,-0.0031168368295817483,-0.0034567765999091726,-0.003116836814188728
s1~nonlin,dot_0,0,-0.00044893543823532056,-0.001255450368863098,-0.0004489350842189488
s2~nonlin,dot_0,0,-0.0031168368295815263,-0.0006806065207818346,-0.003116836814188728
answer,dot_0,2,0.9268719942562803,0.0025138670453476175,0.6891054713262508
s1,dot_0,2,0.9563605301407762,-0.002973272011160377,0.7269590898652003
s2,dot_0,2,0.9347530616073224,-0.009467141886891683,0.7332723486185392
answer~nonlin,dot_0,2,-0.011814478821573937,-0.0026099074391550126,-0.008431545465977575
s1~nonlin,dot_0,2,0.6731401154573826,-0.007456849517971431,0.4914605397045265
s2~nonlin,dot_0,2,-0.011814478821573937,-0.009444611829326766,-0.008431545465977575
answer,dot_0,4,0.9409684596150745,0.0002982991831806947,0.7189476854589143
s1,dot_0,4,0.9841018857500459,-0.004278009955088535,0.8841272207393704
s2,dot_0,4,0.9446141881790548,-0.016105179474361853,0.7821403336109569
answer~nonlin,dot_0,4,0.012613487749888352,-0.007063536453314256,-0.009682350733083878
s1~nonlin,dot_0,4,0.718317333669219,-0.008568594395603313,0.675307709154051
s2~nonlin,dot_0,4,0.012613487749888352,-0.0037259986492448327,-0.009682350733083878
answer,dot_0,6,0.9323573145548691,-0.00738983851980346,0.7506822033153613
s1,dot_0,6,0.9848188417662282,-0.0049263683140248204,0.8994416292874583
s2,dot_0,6,0.9364103932973118,-0.02268605926221312,0.7764618693913581
answer~nonlin,dot_0,6,-0.011300194920959017,-0.009672632757133703,0.0011577636974691163
s1~nonlin,dot_0,6,0.7156100752420862,-0.00662082318180901,0.6728460723173687
s2~nonlin,dot_0,6,-0.011300194920959017,-0.005906533816090409,0.0011577636974691163
answer,dot_0,8,0.922687873021145,-0.008449570962091757,0.8274380436281173
s1,dot_0,8,0.9835227876842585,-0.006484643921968347,0.9206308099488543
s2,dot_0,8,0.9313176906840226,-0.021879966802344386,0.8400605709504915
answer~nonlin,dot_0,8,-0.00026311358312502975,-0.008555648870961274,-0.010131723268450799
s1~nonlin,dot_0,8,0.7179853282016899,-0.0036288273324833753,0.6527249490335753
s2~nonlin,dot_0,8,-0.00026311358312502975,-0.010736977321459618,-0.010131723268450799
answer,dot_0,10,0.9212615777211182,-0.006087855938302633,0.8211074761207219
s1,dot_0,10,0.9773166008859779,-0.005530356576495921,0.9122965707964846
s2,dot_0,10,0.9297913844561303,-0.01945002115766603,0.8329536931650632
answer~nonlin,dot_0,10,0.029875057826285634,-0.005436801119528045,-0.002700009054836139
s1~nonlin,dot_0,10,0.71919933527037,-0.0011058914524626484,0.6747779962668189
s2~nonlin,dot_0,10,0.029875057826285856,-0.010160855632010968,-0.002700009054835917
answer,dot_0,12,0.9262428118805652,-0.004238608113687814,0.8036948135256373
s1,dot_0,12,0.975764948723137,-0.008689552929704636,0.9216202132446731
s2,dot_0,12,0.934516550779053,-0.021001940351219606,0.8201896154352432
answer~nonlin,dot_0,12,0.02034467056581024,-0.0067493576743742345,-0.01006037702769036
s1~nonlin,dot_0,12,0.7107225164269901,-0.0030854286347998805,0.669449816633541
s2~nonlin,dot_0,12,0.02034467056581024,-0.00922484060538542,-0.010060377027690137
answer,dot_0,14,0.9264942113025341,-0.0008927660217565858,0.799617910866533
s1,dot_0,14,0.9698665684668966,-0.007678799439217343,0.9001816520220762
s2,dot_0,14,0.9322011563648701,-0.020459886744704114,0.816426051584269
