target,position,layer,top1_first_digit,top1_shuffled
answer,q_last,0,0.174,0.174
x,q_last,0,0.086,0.086
c1x,q_last,0,0.46,0.46
y,q_last,0,0.45,0.45
c2y,q_last,0,0.17,0.17
answer,q_last,1,0.107,0.113
x,q_last,1,0.085,0.109
c1x,q_last,1,0.147,0.16
y,q_last,1,0.14,0.15
c2y,q_last,1,0.111,0.102
answer,q_last,2,0.103,0.119
x,q_last,2,0.065,0.085
c1x,q_last,2,0.147,0.128
y,q_last,2,0.146,0.116
c2y,q_last,2,0.107,0.115
answer,q_last,3,0.119,0.131
x,q_last,3,0.089,0.101
c1x,q_last,3,0.152,0.151
y,q_last,3,0.157,0.136
c2y,q_last,3,0.112,0.115
answer,q_last,4,0.131,0.124
x,q_last,4,0.093,0.098
c1x,q_last,4,0.116,0.136
y,q_last,4,0.129,0.131
c2y,q_last,4,0.117,0.126
answer,q_last,5,0.108,0.085
x,q_last,5,0.095,0.102
c1x,q_last,5,0.084,0.087
y,q_last,5,0.08,0.076
c2y,q_last,5,0.096,0.086
answer,q_last,6,0.113,0.086
x,q_last,6,0.089,0.085
c1x,q_last,6,0.09,0.074
y,q_last,6,0.079,0.076
c2y,q_last,6,0.103,0.09
answer,q_last,7,0.115,0.076
x,q_last,7,0.08,0.105
c1x,q_last,7,0.15,0.117
y,q_last,7,0.147,0.144
c2y,q_last,7,0.111,0.082
answer,q_last,8,0.096,0.06
x,q_last,8,0.104,0.095
c1x,q_last,8,0.081,0.088
y,q_last,8,0.079,0.089
c2y,q_last,8,0.085,0.056
answer,q_last,9,0.121,0.096
x,q_last,9,0.095,0.078
c1x,q_last,9,0.134,0.134
y,q_last,9,0.154,0.132
c2y,q_last,9,0.116,0.102
answer,q_last,10,0.103,0.103
x,q_last,10,0.111,0.1
c1x,q_last,10,0.107,0.127
y,q_last,10,0.128,0.109
c2y,q_last,10,0.102,0.103
answer,q_last,11,0.114,0.107
x,q_last,11,0.101,0.094
c1x,q_last,11,0.121,0.117
y,q_last,11,0.13,0.126
c2y,q_last,11,0.117,0.108
answer,q_last,12,0.1,0.099
x,q_last,12,0.086,0.104
c1x,q_last,12,0.116,0.121
y,q_last,12,0.129,0.132
c2y,q_last,12,0.113,0.104
answer,q_last,13,0.115,0.106
x,q_last,13,0.099,0.11
c1x,q_last,13,0.1,0.107
y,q_last,13,0.104,0.111
c2y,q_last,13,0.114,0.104
answer,q_last,14,0.107,0.105
x,q_last,14,0.098,0.121
c1x,q_last,14,0.13,0.14
y,q_last,14,0.124,0.144
c2y,q_last,14,0.109,0.104
answer,q_last,15,0.104,0.096
x,q_last,15,0.072,0.118
c1x,q_last,15,0.135,0.146
y,q_last,15,0.144,0.137
c2y,q_last,15,0.107,0.122
answer,q_last,16,0.1,0.095
x,q_last,16,0.097,0.111
c1x,q_last,16,0.123,0.149
y,q_last,16,0.126,0.132
c2y,q_last,16,0.103,0.115
answer,q_last,17,0.113,0.102
x,q_last,17,0.092,0.112
c1x,q_last,17,0.11,0.138
y,q_last,17,0.112,0.113
c2y,q_last,17,0.112,0.113
answer,q_last,18,0.088,0.098
x,q_last,18,0.096,0.092
c1x,q_last,18,0.103,0.11
y,q_last,18,0.107,0.107
c2y,q_last,18,0.098,0.111
answer,q_last,19,0.09,0.094
x,q_last,19,0.09,0.077
c1x,q_last,19,0.103,0.134
y,q_last,19,0.109,0.113
c2y,q_last,19,0.1,0.1
answer,q_last,20,0.102,0.109
x,q_last,20,0.086,0.086
c1x,q_last,20,0.108,0.114
y,q_last,20,0.107,0.095
c2y,q_last,20,0.113,0.111
answer,q_last,21,0.112,0.096
x,q_last,21,0.095,0.106
c1x,q_last,21,0.112,0.129
y,q_last,21,0.109,0.123
c2y,q_last,21,0.123,0.101
answer,q_last,22,0.098,0.107
x,q_last,22,0.1,0.099
c1x,q_last,22,0.108,0.113
y,q_last,22,0.112,0.103
c2y,q_last,22,0.102,0.105
answer,q_last,23,0.099,0.109
x,q_last,23,0.162,0.098
c1x,q_last,23,0.128,0.131
y,q_last,23,0.125,0.121
c2y,q_last,23,0.103,0.106
answer,q_last,24,0.101,0.126
x,q_last,24,0.394,0.114
c1x,q_last,24,0.104,0.118
y,q_last,24,0.108,0.114
c2y,q_last,24,0.109,0.116
answer,q_last,25,0.105,0.105
x,q_last,25,0.341,0.118
c1x,q_last,25,0.113,0.127
y,q_last,25,0.114,0.118
c2y,q_last,25,0.11,0.116
answer,q_last,26,0.112,0.118
x,q_last,26,0.325,0.104
c1x,q_last,26,0.103,0.122
y,q_last,26,0.109,0.114
c2y,q_last,26,0.121,0.12
answer,q_last,27,0.113,0.121
x,q_last,27,0.298,0.098
c1x,q_last,27,0.1,0.118
y,q_last,27,0.108,0.127
c2y,q_last,27,0.113,0.114
answer,q_last,28,0.117,0.113
x,q_last,28,0.264,0.093
c1x,q_last,28,0.111,0.128
y,q_last,28,0.119,0.134
c2y,q_last,28,0.117,0.122
answer,dot_0,0,0.195,0.195
x,dot_0,0,0.127,0.127
c1x,dot_0,0,0.045,0.045
y,dot_0,0,0.048,0.048
c2y,dot_0,0,0.188,0.188
answer,dot_0,1,0.11,0.09
x,dot_0,1,0.099,0.095
c1x,dot_0,1,0.124,0.125
y,dot_0,1,0.134,0.14
c2y,dot_0,1,0.097,0.092
answer,dot_0,2,0.116,0.118
x,dot_0,2,0.101,0.08
c1x,dot_0,2,0.158,0.137
y,dot_0,2,0.146,0.146
c2y,dot_0,2,0.107,0.104
answer,dot_0,3,0.114,0.099
x,dot_0,3,0.091,0.091
c1x,dot_0,3,0.149,0.145
y,dot_0,3,0.144,0.152
c2y,dot_0,3,0.115,0.103
answer,dot_0,4,0.118,0.094
x,dot_0,4,0.081,0.095
c1x,dot_0,4,0.152,0.145
y,dot_0,4,0.142,0.162
c2y,dot_0,4,0.11,0.111
answer,dot_0,5,0.124,0.103
x,dot_0,5,0.102,0.085
c1x,dot_0,5,0.151,0.138
y,dot_0,5,0.129,0.159
c2y,dot_0,5,0.12,0.088
answer,dot_0,6,0.104,0.094
x,dot_0,6,0.1,0.103
c1x,dot_0,6,0.129,0.139
y,dot_0,6,0.123,0.145
c2y,dot_0,6,0.106,0.102
answer,dot_0,7,0.109,0.107
x,dot_0,7,0.111,0.107
c1x,dot_0,7,0.122,0.127
y,dot_0,7,0.13,0.131
c2y,dot_0,7,0.113,0.097
answer,dot_0,8,0.092,0.112
x,dot_0,8,0.097,0.093
c1x,dot_0,8,0.112,0.1
y,dot_0,8,0.103,0.108
c2y,dot_0,8,0.092,0.112
answer,dot_0,9,0.102,0.085
x,dot_0,9,0.096,0.102
c1x,dot_0,9,0.129,0.1
y,dot_0,9,0.113,0.119
c2y,dot_0,9,0.098,0.112
answer,dot_0,10,0.119,0.088
x,dot_0,10,0.106,0.099
c1x,dot_0,10,0.112,0.1
y,dot_0,10,0.113,0.126
c2y,dot_0,10,0.107,0.103
answer,dot_0,11,0.121,0.086
x,dot_0,11,0.091,0.108
c1x,dot_0,11,0.114,0.109
y,dot_0,11,0.109,0.134
c2y,dot_0,11,0.12,0.1
answer,dot_0,12,0.12,0.098
x,dot_0,12,0.109,0.088
c1x,dot_0,12,0.101,0.124
y,dot_0,12,0.112,0.116
c2y,dot_0,12,0.111,0.096
answer,dot_0,13,0.109,0.094
x,dot_0,13,0.092,0.084
c1x,dot_0,13,0.107,0.125
y,dot_0,13,0.105,0.109
c2y,dot_0,13,0.114,0.092
answer,dot_0,14,0.087,0.09
x,dot_0,14,0.086,0.103
c1x,dot_0,14,0.102,0.111
y,dot_0,14,0.108,0.1
c2y,dot_0,14,0.1,0.091
answer,dot_0,15,0.101,0.109
x,dot_0,15,0.104,0.095
c1x,dot_0,15,0.097,0.102
y,dot_0,15,0.099,0.1
c2y,dot_0,15,0.105,0.103
answer,dot_0,16,0.1,0.087
x,dot_0,16,0.103,0.09
c1x,dot_0,16,0.101,0.111
y,dot_0,16,0.099,0.101
c2y,dot_0,16,0.109,0.111
answer,dot_0,17,0.093,0.101
x,dot_0,17,0.103,0.093
c1x,dot_0,17,0.1,0.103
y,dot_0,17,0.101,0.101
c2y,dot_0,17,0.093,0.11
answer,dot_0,18,0.099,0.133
x,dot_0,18,0.094,0.1
c1x,dot_0,18,0.115,0.121
y,dot_0,18,0.109,0.109
c2y,dot_0,18,0.11,0.118
answer,dot_0,19,0.103,0.111
x,dot_0,19,0.08,0.09
c1x,dot_0,19,0.131,0.136
y,dot_0,19,0.131,0.136
c2y,dot_0,19,0.099,0.111
answer,dot_0,20,0.114,0.116
x,dot_0,20,0.088,0.076
c1x,dot_0,20,0.138,0.126
y,dot_0,20,0.137,0.123
c2y,dot_0,20,0.11,0.102
answer,dot_0,21,0.095,0.098
x,dot_0,21,0.101,0.086
c1x,dot_0,21,0.121,0.111
y,dot_0,21,0.13,0.101
c2y,dot_0,21,0.09,0.104
answer,dot_0,22,0.113,0.106
x,dot_0,22,0.092,0.083
c1x,dot_0,22,0.088,0.105
y,dot_0,22,0.1,0.096
c2y,dot_0,22,0.11,0.109
answer,dot_0,23,0.111,0.098
x,dot_0,23,0.092,0.12
c1x,dot_0,23,0.094,0.091
y,dot_0,23,0.103,0.096
c2y,dot_0,23,0.116,0.109
answer,dot_0,24,0.144,0.117
x,dot_0,24,0.096,0.116
c1x,dot_0,24,0.108,0.121
y,dot_0,24,0.108,0.107
c2y,dot_0,24,0.144,0.128
answer,dot_0,25,0.108,0.094
x,dot_0,25,0.066,0.114
c1x,dot_0,25,0.126,0.121
y,dot_0,25,0.126,0.13
c2y,dot_0,25,0.111,0.109
answer,dot_0,26,0.095,0.111
x,dot_0,26,0.081,0.115
c1x,dot_0,26,0.108,0.123
y,dot_0,26,0.12,0.109
c2y,dot_0,26,0.093,0.113
answer,dot_0,27,0.111,0.119
x,dot_0,27,0.083,0.12
c1x,dot_0,27,0.121,0.137
y,dot_0,27,0.124,0.126
c2y,dot_0,27,0.112,0.12
answer,dot_0,28,0.125,0.116
x,dot_0,28,0.081,0.091
c1x,dot_0,28,0.158,0.151
y,dot_0,28,0.157,0.158
c2y,dot_0,28,0.126,0.119
answer,dot_1,0,0.195,0.195
x,dot_1,0,0.127,0.127
c1x,dot_1,0,0.045,0.045
y,dot_1,0,0.048,0.048
c2y,dot_1,0,0.188,0.188
answer,dot_1,1,0.109,0.111
x,dot_1,1,0.103,0.103
c1x,dot_1,1,0.133,0.125
y,dot_1,1,0.142,0.144
c2y,dot_1,1,0.096,0.111
answer,dot_1,2,0.105,0.114
x,dot_1,2,0.092,0.095
c1x,dot_1,2,0.146,0.132
y,dot_1,2,0.132,0.138
c2y,dot_1,2,0.102,0.097
answer,dot_1,3,0.097,0.11
x,dot_1,3,0.097,0.088
c1x,dot_1,3,0.144,0.112
y,dot_1,3,0.133,0.134
c2y,dot_1,3,0.095,0.101
answer,dot_1,4,0.093,0.096
x,dot_1,4,0.089,0.093
c1x,dot_1,4,0.123,0.117
y,dot_1,4,0.121,0.139
c2y,dot_1,4,0.095,0.108
answer,dot_1,5,0.102,0.089
x,dot_1,5,0.11,0.078
c1x,dot_1,5,0.128,0.122
y,dot_1,5,0.12,0.146
c2y,dot_1,5,0.1,0.086
answer,dot_1,6,0.112,0.107
x,dot_1,6,0.114,0.099
c1x,dot_1,6,0.113,0.118
y,dot_1,6,0.1,0.136
c2y,dot_1,6,0.121,0.107
answer,dot_1,7,0.131,0.111
x,dot_1,7,0.112,0.11
c1x,dot_1,7,0.128,0.12
y,dot_1,7,0.125,0.147
c2y,dot_1,7,0.118,0.117
answer,dot_1,8,0.097,0.092
x,dot_1,8,0.114,0.112
c1x,dot_1,8,0.119,0.114
y,dot_1,8,0.11,0.129
c2y,dot_1,8,0.088,0.108
answer,dot_1,9,0.079,0.076
x,dot_1,9,0.115,0.098
c1x,dot_1,9,0.108,0.109
y,dot_1,9,0.093,0.12
c2y,dot_1,9,0.081,0.095
answer,dot_1,10,0.096,0.081
x,dot_1,10,0.111,0.105
c1x,dot_1,10,0.116,0.115
y,dot_1,10,0.106,0.114
c2y,dot_1,10,0.101,0.102
