target,position,layer,r2,r2_shuffled,r2_random
answer,q_last,0,-0.0026592564352803105,-0.003598300369890728,-0.0026592566951793017
x,q_last,0,-0.0012744977676375502,-0.002669757150449481,-0.001274496583314244
c1x,q_last,0,-0.0037543809935178807,-0.0018025359314133294,-0.0037543919159335193
y,q_last,0,-0.003074428114614891,-0.004625889311055786,-0.003074429272652557
c2y,q_last,0,-0.002784634670901065,-0.007699150853651027,-0.0027846394713573197
answer~nonlin,q_last,0,-0.002347746354684599,-0.0014925902352649345,-0.002347746354460334
x~nonlin,q_last,0,-0.0012594208363394532,-0.003262506525044895,-0.001259420825585389
c1x~nonlin,q_last,0,-0.0021143474019800212,-0.003542573369121893,-0.0021143474314408994
y~nonlin,q_last,0,-0.0028666543540414313,-0.005634771239459324,-0.002866654260925472
c2y~nonlin,q_last,0,-0.002504150376193115,-0.0016456858389066742,-0.002504150346488432
answer,q_last,2,0.12091049888852323,-0.016449670920875237,0.08740763928133732
x,q_last,2,-0.00874623020870402,-0.0076912672085587275,-0.004168951571624335
c1x,q_last,2,-0.005122380229812373,-0.00562229411183135,-0.005062990785988486
y,q_last,2,0.004995189064527894,-0.009767199798804915,0.007507019409884741
c2y,q_last,2,0.1145640257889371,-0.008333118466316014,0.07821819601362046
answer~nonlin,q_last,2,-0.009793468518229487,-0.0027496027619478003,-0.0027356374010536477
x~nonlin,q_last,2,-0.007879388855477343,-0.00687196274848878,-0.004699852966404183
c1x~nonlin,q_last,2,0.0045094595143300165,-0.013619130960412562,0.001604229727630524
y~nonlin,q_last,2,-0.0025680024790630807,-0.006793602723523362,-0.003191262363158698
c2y~nonlin,q_last,2,-0.0056724684638544964,-0.009681672882290604,-0.0026124215772835857
answer,q_last,4,0.09168984541327674,-0.007321411215170048,0.045099390205809
x,q_last,4,5.6867840432905936e-05,-0.007533822992234596,-0.007932477634652768
c1x,q_last,4,-0.0024054666808182024,-0.009565183630514618,-0.013625650583242388
y,q_last,4,-0.0005784161039068536,-0.009774674281432416,-0.01046218751978345
c2y,q_last,4,0.08562969534739928,-0.008980021290844187,0.042285733001911185
answer~nonlin,q_last,4,-0.012741371508516286,-0.00816738194093336,-0.004529544010972053
x~nonlin,q_last,4,-0.0028191434209878796,-0.005324297346439133,-0.011040260601674401
c1x~nonlin,q_last,4,0.0038789619219353755,-0.014234366558289802,-0.0032860960723761767
y~nonlin,q_last,4,-0.003028758286035993,-0.014695159391130863,-0.009244250263583664
c2y~nonlin,q_last,4,-0.010258097950450296,-0.009071970862004175,-0.00750372657456988
answer,q_last,6,0.08746277295868043,-0.006951929351726616,0.05638038364201026
x,q_last,6,0.0004657754127314062,-0.0030393971323519064,-0.0030413426429141133
c1x,q_last,6,0.0031024025139191336,-0.009562794885318082,-0.001939242943320485
y,q_last,6,0.007000174001470683,-0.012583438701206928,0.004281961411886859
c2y,q_last,6,0.08276626859486147,-0.003408002920068043,0.0530337603387383
answer~nonlin,q_last,6,-0.01283268741944954,-0.008263125877415733,-0.00332383244156631
x~nonlin,q_last,6,0.009445235504163096,-0.0026248038803315943,0.006105292094451209
c1x~nonlin,q_last,6,0.0012637462261851917,-0.011215430797520742,-0.005775371483735636
y~nonlin,q_last,6,-0.006702334913953223,-0.013607167249330532,-0.0043250499187634794
c2y~nonlin,q_last,6,-0.011301291962511506,-0.010655797969069791,-0.0032724763590727957
answer,q_last,8,0.08799276670342637,-0.009050444160116466,0.05707818225239503
x,q_last,8,0.0035965443389363028,-0.011667323475683666,-0.005541231373981992
c1x,q_last,8,0.0013638417532091385,-0.008593911974267732,0.002059126091211616
y,q_last,8,0.014806835042366684,-0.01736310537072483,-0.0006734777469574738
c2y,q_last,8,0.08124792544940296,-0.012536170979195793,0.05356774081812299
answer~nonlin,q_last,8,-0.010483637017490333,-0.012364111086511587,-0.002655653054796092
x~nonlin,q_last,8,0.01542093188371485,-0.004504661111210506,0.008408262205231165
c1x~nonlin,q_last,8,-0.0007426750651819969,-0.013017174746374538,-0.008509489904336087
y~nonlin,q_last,8,-0.00836062702143403,-0.013596275351657194,-0.007848450811416718
c2y~nonlin,q_last,8,-0.010284492440687965,-0.015573494014006428,-0.0029327417903981523
answer,q_last,10,0.13786507694463568,-0.01047783792186019,0.0572086308222568
x,q_last,10,0.05204819182618592,-0.011118279414574994,0.01645346855921692
c1x,q_last,10,0.06793653215389461,-0.00732323869968643,0.013078248495947742
y,q_last,10,0.07002264764146526,-0.0141942723173194,0.01024019164359935
c2y,q_last,10,0.13256764178371538,-0.01756430850060453,0.05589437547607434
