target,position,layer,r2,r2_shuffled,r2_random
answer,pre_s1,0,-0.0005766224306082979,-0.002289510725673738,-0.000576621132662547
s1,pre_s1,0,-0.00045374366835559954,-0.002248503778837785,-0.0004537424253783229
s2,pre_s1,0,-0.0006151407303933709,-0.0020952830695601943,-0.0006151405019971801
answer~nonlin,pre_s1,0,-0.0022514564369291445,-0.0004373131326029789,-0.0022514564103903734
s1~nonlin,pre_s1,0,-0.00021563469636398658,-0.0017353681240590557,-0.0002156341513610549
s2~nonlin,pre_s1,0,-0.0022514564369295886,-0.004705703784540605,-0.0022514564103908175
answer,pre_s1,2,0.7174270967949652,-0.014950357267549563,0.7034077753493343
s1,pre_s1,2,0.9891535230097795,-0.006182069413930069,0.9315329677947454
s2,pre_s1,2,0.7647092014620267,-0.01820498274566562,0.7572448720471001
answer~nonlin,pre_s1,2,-0.006902977624730466,-0.0007324593757518372,-0.009301809620979373
s1~nonlin,pre_s1,2,0.9234611451147926,-0.007824348842494722,0.8359737327169643
s2~nonlin,pre_s1,2,-0.006902977624730688,-0.00810994633469364,-0.009301809620979595
answer,pre_s1,4,0.6450476521107609,-0.016885367231444848,0.6577005978392854
s1,pre_s1,4,0.9932928533415027,-0.00712484557020443,0.9603765775008876
s2,pre_s1,4,0.7029108657349183,-0.017148249195791276,0.7053543708079657
answer~nonlin,pre_s1,4,-0.008998201220559388,-0.0018353096658685342,-0.003189817449446908
s1~nonlin,pre_s1,4,0.9312269927908328,-0.005688223750401011,0.8821836055902469
s2~nonlin,pre_s1,4,-0.00899820122055961,-0.009162629603593597,-0.00318981744944713
answer,pre_s1,6,0.7146220936520475,-0.018848864414973354,0.6679120056883767
s1,pre_s1,6,0.9905332707797627,-0.008465694436000648,0.937229915719529
s2,pre_s1,6,0.7643404822614037,-0.00993500581413409,0.6995195159845715
answer~nonlin,pre_s1,6,-0.004132323668531113,-0.0028770195291607514,-0.005008574301768487
s1~nonlin,pre_s1,6,0.9313002125187998,-0.006221726971540775,0.8581985497750511
s2~nonlin,pre_s1,6,-0.004132323668531335,-0.011545595420054733,-0.005008574301768487
answer,pre_s1,8,0.7056706577726619,-0.01728158287820869,0.699719742207162
s1,pre_s1,8,0.9833275268720956,-0.011065617364506508,0.9333738766106343
s2,pre_s1,8,0.7251118462158307,-0.010200353572427323,0.7205346323558879
answer~nonlin,pre_s1,8,-0.002230063058268561,-0.002572208941766796,-0.005256380006801509
s1~nonlin,pre_s1,8,0.9135724406847366,-0.005990872009970394,0.8611270422423585
s2~nonlin,pre_s1,8,-0.002230063058269005,-0.013024127293338017,-0.005256380006801731
answer,pre_s1,10,0.9273189366450835,-0.013864830113482496,0.8228483120428056
s1,pre_s1,10,0.9815279970918975,-0.011706590719007703,0.9232121348683248
s2,pre_s1,10,0.938159627118113,-0.009140996244602295,0.8180773185686901
answer~nonlin,pre_s1,10,0.015817521524816303,-0.004475768564043303,-0.0029161560395063457
s1~nonlin,pre_s1,10,0.9274187062112272,-0.008915204052735382,0.874814354546029
s2~nonlin,pre_s1,10,0.01581752152481597,-0.012541131358850155,-0.002916156039507012
answer,pre_s1,12,0.9320444905388943,-0.014100756427962269,0.8382852110827512
s1,pre_s1,12,0.9849466487269873,-0.011007987732364333,0.9275995819884508
s2,pre_s1,12,0.9427706483735467,-0.004743167599322362,0.8457850443473753
answer~nonlin,pre_s1,12,0.03709101595088904,-0.0031020260028393754,-0.01217648413109984
s1~nonlin,pre_s1,12,0.9332196225590562,-0.01022435195330007,0.8835757367917771
s2~nonlin,pre_s1,12,0.03709101595088893,-0.014835599367993835,-0.012176484131100507
answer,pre_s1,14,0.9267339719267937,-0.015617619277490835,0.8301057491680639
s1,pre_s1,14,0.9799743324482066,-0.012079784083596667,0.9455088244783801
s2,pre_s1,14,0.9361046921229745,-0.005794561937547016,0.8273107253951011
answer~nonlin,pre_s1,14,0.008145902672732741,-0.006399211741101585,-0.010825334501399553
s1~nonlin,pre_s1,14,0.9269566584137651,-0.007642492686602553,0.891987461355204
s2~nonlin,pre_s1,14,0.008145902672732297,-0.012940408198577336,-0.010825334501399997
answer,pre_s1,16,0.945195043676322,-0.015098167092879144,0.8349303651249943
s1,pre_s1,16,0.9809974446575066,-0.009391103798536582,0.9205828133546071
s2,pre_s1,16,0.9477943192200768,-0.002028670755093387,0.822150812034331
answer~nonlin,pre_s1,16,0.012070593427658816,-0.0022780231862251643,0.0076783996517585384
s1~nonlin,pre_s1,16,0.9295651693057457,-0.007415344436831894,0.8686128111985052
s2~nonlin,pre_s1,16,0.012070593427658594,-0.012117647403855791,0.007678399651758316
answer,pre_s1,18,0.9486243538015026,-0.011016336175373675,0.8852231014649334
s1,pre_s1,18,0.9785867657942188,-0.0052867874040514184,0.9159600052263581
s2,pre_s1,18,0.9514754707139832,6.654990480392531e-05,0.8976952135994016
answer~nonlin,pre_s1,18,0.03358801791344246,-0.0002560326196170415,0.06929754591408976
s1~nonlin,pre_s1,18,0.9292317009807123,-0.009471678855092591,0.876589060743215
s2~nonlin,pre_s1,18,0.03358801791344235,-0.009615009369644767,0.06929754591408988
answer,pre_s1,20,0.9507488042234237,-0.009893497336143753,0.8732254898172521
s1,pre_s1,20,0.9806920125396695,-0.007702400160365386,0.8998084830134839
s2,pre_s1,20,0.9544471654677383,-0.00017004557921906915,0.8805180633246427
answer~nonlin,pre_s1,20,0.02758292978061172,0.0012626999667492145,0.053694101524968896
s1~nonlin,pre_s1,20,0.9363794060207729,-0.00791534294758689,0.853182566003545
s2~nonlin,pre_s1,20,0.02758292978061172,-0.011247841175638706,0.053694101524968896
answer,pre_s1,22,0.9501164411063258,-0.012964365449375626,0.8442291559509072
s1,pre_s1,22,0.9834100181983358,-0.011204605550419577,0.9076419208912176
s2,pre_s1,22,0.9535086872980273,-0.004855088719304179,0.8436940014483977
answer~nonlin,pre_s1,22,-5.685293055845975e-05,0.005433682406293716,0.037845895702776855
s1~nonlin,pre_s1,22,0.9347704132169735,-0.008289066991505,0.8665657650094707
s2~nonlin,pre_s1,22,-5.685293055845975e-05,-0.010087144946546278,0.03784589570277663
answer,pre_s1,24,0.9454440828253123,-0.013200773026216694,0.818754409691843
s1,pre_s1,24,0.9923588120181279,-0.006761751134618965,0.9614901434799248
s2,pre_s1,24,0.9528371146091558,-0.010563052695693909,0.8442702478007936
answer~nonlin,pre_s1,24,-0.004672431207184857,0.0055982790513018355,-0.012945044325782362
s1~nonlin,pre_s1,24,0.9425605161598553,-0.00957344928957582,0.9053285760776055
s2~nonlin,pre_s1,24,-0.004672431207185079,-0.007214773801182517,-0.012945044325782362
answer,pre_s1,26,0.942178342324359,-0.012278202096761559,0.8502022918002518
s1,pre_s1,26,0.9931621375987103,-0.007760639620066012,0.9668792942933773
s2,pre_s1,26,0.9525337863568166,-0.010767563719991324,0.8782045011658127
answer~nonlin,pre_s1,26,-0.004007297311496849,0.00459479243594374,-0.0019264009197705878
s1~nonlin,pre_s1,26,0.945613037636827,-0.0091674397956103,0.9274817599300706
s2~nonlin,pre_s1,26,-0.004007297311497071,-0.0073331463077812575,-0.0019264009197705878
answer,pre_s1,28,0.9404044319187637,-0.01223212885794589,0.836661701939523
s1,pre_s1,28,0.9928657190726536,-0.005319165143328419,0.9741313380812393
s2,pre_s1,28,0.9530090242006685,-0.011919856366235937,0.853619050312286
answer~nonlin,pre_s1,28,0.0004807428041628814,0.006025403110471617,-0.005556288006313137
s1~nonlin,pre_s1,28,0.9473477151250538,-0.008809420535843104,0.9298079157670626
s2~nonlin,pre_s1,28,0.00048074280416254833,-0.008540590052795727,-0.005556288006313137
answer,val_s1,0,-0.004954422408957937,-0.014077334966649202,-0.0009723851496235003
s1,val_s1,0,-0.00154101180789179,-0.012276744912515403,-0.00035617922143327263
s2,val_s1,0,-0.0046124180660556124,-0.010606324694887315,-0.0007581605289506133
answer~nonlin,val_s1,0,-0.009635201641241542,-0.00892170051920127,-0.00259395081690017
s1~nonlin,val_s1,0,-0.0029097088793859083,-0.011834964990822705,-0.0009610727753026627
s2~nonlin,val_s1,0,-0.009635201641241542,-0.01643411322473276,-0.002593950816900392
answer,val_s1,2,0.6207599578403722,-0.009962916189816706,0.6211913525621544
s1,val_s1,2,0.9968789309082327,-0.009226046550838696,0.9874698899936216
s2,val_s1,2,0.6641837909082484,-0.010186520111695074,0.6652999038781261
answer~nonlin,val_s1,2,-0.002998367893825904,-0.009865772608496082,-0.002032303247571976
s1~nonlin,val_s1,2,0.8737456083653673,-0.0104896068422895,0.8195142450577839
s2~nonlin,val_s1,2,-0.002998367893826126,-0.013227518312955544,-0.00203230324757242
answer,val_s1,4,0.618956167257176,-0.007949337414120627,0.6258960315252092
s1,val_s1,4,0.995003795437552,-0.008415253416338198,0.9790325882341329
s2,val_s1,4,0.6631913174577229,-0.008863636814955722,0.6626350610556351
answer~nonlin,val_s1,4,-0.001792259087094239,-0.00815550256371722,-0.002127654086913733
s1~nonlin,val_s1,4,0.9264459832852024,-0.008984668975412946,0.8764358945881097
s2~nonlin,val_s1,4,-0.001792259087094461,-0.013354798225225117,-0.002127654086913955
answer,val_s1,6,0.6383060817349872,0.00012579667800372007,0.59640594889799
s1,val_s1,6,0.9935396933568844,-0.011922432719619902,0.9561783548500505
s2,val_s1,6,0.6585898765483743,-0.008527647915984371,0.6333264288542111
answer~nonlin,val_s1,6,-0.0013772090425310246,-0.006620147529773801,-0.0027659649201206005
s1~nonlin,val_s1,6,0.9221915033680166,-0.010323859648145195,0.8696325959461907
s2~nonlin,val_s1,6,-0.0013772090425310246,-0.013175736025280438,-0.0027659649201206005
answer,val_s1,8,0.6524385140880102,-0.002324169710548718,0.6191370659108235
s1,val_s1,8,0.9923269109830428,-0.012061158328893207,0.9617706329786683
s2,val_s1,8,0.6719425301542341,-0.008726130153923206,0.6447660853230863
answer~nonlin,val_s1,8,0.0031540223883052,-0.0022417358878508153,-0.0022559153270533816
s1~nonlin,val_s1,8,0.910605632906549,-0.007088771470889821,0.8729224054470014
s2~nonlin,val_s1,8,0.003154022388305089,-0.01078197002035819,-0.0022559153270536036
answer,val_s1,10,0.7802128047049304,-1.871020297050663e-05,0.6595015704457023
s1,val_s1,10,0.991591522292516,-0.008666204290305846,0.946956831169768
s2,val_s1,10,0.8065941141680623,-0.008542179930798532,0.6752162279546893
answer~nonlin,val_s1,10,0.006604158724126896,-0.0059826768233632865,-0.0021428217991921183
s1~nonlin,val_s1,10,0.9183909828845096,-0.008973376435864822,0.8657802627549444
s2~nonlin,val_s1,10,0.006604158724126896,-0.008052705092056689,-0.0021428217991923404
answer,val_s1,12,0.7673702182188467,-0.00019650478955557382,0.6722132687921585
s1,val_s1,12,0.992120680074756,-0.006371892653531441,0.9674194662364837
s2,val_s1,12,0.7762621498743076,-0.009011784397249034,0.6983043449794037
answer~nonlin,val_s1,12,0.0020234992120253814,-0.007563302324065324,-0.002088996476831362
s1~nonlin,val_s1,12,0.9266580037293211,-0.008060265862906313,0.8944058430205
s2~nonlin,val_s1,12,0.0020234992120253814,-0.008267619240020174,-0.002088996476831806
answer,val_s1,14,0.8641690770767412,-0.0029196213987554565,0.7136896119365301
s1,val_s1,14,0.9927261417175937,-0.007274671337070382,0.968209796402351
s2,val_s1,14,0.859028901580269,-0.005172416581207484,0.7165729898574781
answer~nonlin,val_s1,14,-0.0002521311005332372,-0.00618488017059704,-0.0025388994727473246
s1~nonlin,val_s1,14,0.9278578783036654,-0.008555874003502772,0.891868336897699
s2~nonlin,val_s1,14,-0.0002521311005334592,-0.008096491858950783,-0.0025388994727473246
answer,val_s1,16,0.926049851513498,0.0001911181687813679,0.7578409712630694
s1,val_s1,16,0.9891038119155523,-0.008895919159898735,0.9697902103177107
s2,val_s1,16,0.928194742845444,-0.00167890960012973,0.7699880253362081
answer~nonlin,val_s1,16,0.002054779736997636,-0.003447971810165651,-0.002139132654767284
s1~nonlin,val_s1,16,0.9253325981591954,-0.007931043753814926,0.8954350653151397
s2~nonlin,val_s1,16,0.002054779736997636,-0.01111166016954801,-0.002139132654767284
answer,val_s1,18,0.9381979014120861,-9.437213184759763e-05,0.8299410498388748
s1,val_s1,18,0.9879611664271353,-0.009180435366554995,0.9640101784864857
s2,val_s1,18,0.939773342826582,-0.0003155218440287211,0.8316539362443492
answer~nonlin,val_s1,18,0.003002442483838186,-0.0030751262744062036,-0.002139281396726478
s1~nonlin,val_s1,18,0.9211962229379801,-0.00692515247514236,0.8888522924483734
s2~nonlin,val_s1,18,0.003002442483838186,-0.009844079012386153,-0.002139281396726478
answer,val_s1,20,0.9362952031666553,-0.0003858327089933944,0.8523074006885079
s1,val_s1,20,0.9864272389240856,-0.005641555250772479,0.9660498564739102
s2,val_s1,20,0.9407978919664198,-0.001270625758110322,0.8658596899488598
answer~nonlin,val_s1,20,0.030555416907719457,-0.007101919283939662,-0.00966751133348187
s1~nonlin,val_s1,20,0.9246467482835498,-0.007783797763907696,0.8872838230033946
s2~nonlin,val_s1,20,0.030555416907719346,-0.0074430222650399,-0.00966751133348187
answer,val_s1,22,0.9346244271552936,-0.005539417061835916,0.8146063898025355
s1,val_s1,22,0.9935713957619674,-0.0066424472384434274,0.9844599661785074
s2,val_s1,22,0.944963999617669,-0.001948756385723005,0.8376334047773926
answer~nonlin,val_s1,22,0.002070138080672801,-0.007346292862011383,-0.011147986845934543
s1~nonlin,val_s1,22,0.9323278680561033,-0.011324786815886112,0.892646983940585
s2~nonlin,val_s1,22,0.002070138080672801,-0.008273897568797928,-0.011147986845934543
answer,val_s1,24,0.9373597098439251,-0.004525009674703817,0.7955183555333145
s1,val_s1,24,0.9942974747221905,-0.00971145929359718,0.9710271719609291
s2,val_s1,24,0.9480533836498817,-0.002466807451644737,0.8179882159884193
answer~nonlin,val_s1,24,0.0019394606766162115,-0.005249028578936832,-0.012660863781065235
s1~nonlin,val_s1,24,0.9321366441634442,-0.010397498099574243,0.8908659832079969
s2~nonlin,val_s1,24,0.0019394606766162115,-0.010035782926151926,-0.012660863781065235
answer,val_s1,26,0.9291034549148808,-0.0054358112895913635,0.7924823233057867
s1,val_s1,26,0.9925365565893064,-0.005151375355806342,0.96077655951688
s2,val_s1,26,0.9407548350083432,-0.003239797149112933,0.7874369289580891
answer~nonlin,val_s1,26,-3.206239798192456e-05,-0.003136375776292555,-0.0020206650768321843
s1~nonlin,val_s1,26,0.9281027863812003,-0.009152286783834507,0.8838569131511158
s2~nonlin,val_s1,26,-3.206239798192456e-05,-0.010301745294063025,-0.0020206650768326284
answer,val_s1,28,0.9085977566261149,-0.00562468265486471,0.7949342671867561
s1,val_s1,28,0.9881593409361582,-0.003724874343756346,0.9427414896566458
s2,val_s1,28,0.9202594590855186,-0.005295779518936783,0.7921538798613054
answer~nonlin,val_s1,28,0.002887243417240337,-0.004770011497884585,-0.009821787174514762
s1~nonlin,val_s1,28,0.9233581431532752,-0.009094586964002893,0.8792983308048234
s2~nonlin,val_s1,28,0.002887243417240337,-0.010350982314328405,-0.009821787174514762
answer,pre_s2,0,-0.0005766224306082979,-0.002289510725673738,-0.000576621132662547
s1,pre_s2,0,-0.00045374366835559954,-0.002248503778837785,-0.0004537424253783229
s2,pre_s2,0,-0.0006151407303933709,-0.0020952830695601943,-0.0006151405019971801
answer~nonlin,pre_s2,0,-0.0022514564369291445,-0.0004373131326029789,-0.0022514564103903734
s1~nonlin,pre_s2,0,-0.00021563469636398658,-0.0017353681240590557,-0.0002156341513610549
s2~nonlin,pre_s2,0,-0.0022514564369295886,-0.004705703784540605,-0.0022514564103908175
answer,pre_s2,2,0.9454577859690395,-0.005766098255505447,0.8780625695154575
s1,pre_s2,2,0.9822068268958243,-0.005028321252737777,0.9306199374696164
s2,pre_s2,2,0.9560082380581774,-0.010118160955877142,0.9152913240294082
answer~nonlin,pre_s2,2,0.1560527512236204,-0.00127524663425449,0.05481833214778331
s1~nonlin,pre_s2,2,0.8910890162464419,-0.007954933377520401,0.8262686796385289
s2~nonlin,pre_s2,2,0.15605275122362028,-0.006354396886535829,0.054818332147783644
answer,pre_s2,4,0.9602760550986709,-0.008959137802055706,0.9296358481315322
s1,pre_s2,4,0.9937367358028827,-0.000914722600683815,0.9513590048993311
s2,pre_s2,4,0.9824229446441884,-0.009890261096332953,0.9518725916964054
