target,position,layer,r2,r2_shuffled,r2_random
answer,pre_x,0,-0.00047327588493972783,-0.0038766411640600573,-0.0004732781214837889
x,pre_x,0,-0.0007603193256664476,-0.0053882067592043725,-0.0007603211577207336
c1x,pre_x,0,-0.0004972250465180572,-0.002637797576702239,-0.000497225626701292
y,pre_x,0,-0.0002040817888906421,-0.0045144998159305505,-0.00020408368270485866
c2y,pre_x,0,-0.0005498008324669179,-0.00044410492860502693,-0.0005498012079858672
answer~nonlin,pre_x,0,-0.0006219254004646846,-0.00471052003455541,-0.0006219254158672527
x~nonlin,pre_x,0,-0.00027950744125249116,-0.0012446888116752763,-0.00027950701673251643
c1x~nonlin,pre_x,0,-0.0028367841362817448,-0.001052393265053908,-0.0028367841734364685
y~nonlin,pre_x,0,-0.0009222907671591063,-0.001373999337298537,-0.0009222907561126092
c2y~nonlin,pre_x,0,-0.0004719253718021843,-0.001438159023892993,-0.0004719253772909049
answer,pre_x,2,0.016463374333816838,0.00026072237178864643,-0.0012737869108190303
x,pre_x,2,0.0038198605718212653,-0.009180431656265364,0.0018956285005101714
c1x,pre_x,2,0.005211511611577069,-0.006812532486277112,0.0008896789469949873
y,pre_x,2,0.0235223714095959,-0.017655416934001078,0.0002310957929537727
c2y,pre_x,2,0.017422111989402023,-0.007907836614422958,-0.001184195501710894
answer~nonlin,pre_x,2,-0.0018735509421223817,-0.01188595347897703,-0.006173392938547462
x~nonlin,pre_x,2,0.006662605457846693,0.0042713340255918775,-0.0010140170628880618
c1x~nonlin,pre_x,2,-0.0109642231907221,-0.005371446451728046,-0.008516528619849861
y~nonlin,pre_x,2,-0.0010106564396255013,0.0003545028652133242,-0.00630145083370337
c2y~nonlin,pre_x,2,-0.0006819297693567705,-0.011519299251930626,-0.00558808125667043
answer,pre_x,4,0.010507749151863255,0.00020903280721940032,-0.0007576732307188472
x,pre_x,4,0.007166974430905859,-0.008652070231327302,0.006335178388464646
c1x,pre_x,4,0.006541432379416623,-0.009159523000697556,0.008757654614101829
y,pre_x,4,0.018012336888008296,-0.017278300301639682,0.001966333722963287
c2y,pre_x,4,0.011707390302730603,-0.005858137071955705,-0.0003462395884576974
answer~nonlin,pre_x,4,-0.004917210290930507,-0.011778942583771324,-0.0009248828600680881
x~nonlin,pre_x,4,0.007353870741497959,0.007437153626302373,0.004965525144821292
c1x~nonlin,pre_x,4,-0.0037902269879497297,-0.0032725461073237483,-0.006188008120323607
y~nonlin,pre_x,4,-0.002984969186107689,-0.0022631022695573932,-0.0025516235179281477
c2y~nonlin,pre_x,4,-0.0038130955676811684,-0.011554993634492305,-0.000769756896026097
answer,pre_x,6,0.09394269804736044,-0.0014668356643487979,0.027381819003969854
x,pre_x,6,0.0008300301825104883,-0.008411702025381773,-0.006294228649543543
c1x,pre_x,6,0.08707912028591269,-0.006241041557633498,0.015858631851768834
y,pre_x,6,0.1165172414589849,-0.01564649655164385,0.05496811126002199
c2y,pre_x,6,0.0981135421954068,-0.006272365783152267,0.03246030328040583
answer~nonlin,pre_x,6,-0.00715545470978296,-0.009061441186662522,-0.0011494472138213752
x~nonlin,pre_x,6,0.0024895665534633293,0.004188626921022842,-0.0014392928250002157
