target,position,layer,r2,r2_shuffled,r2_random
answer,pre_s1,0,-0.0002843715564622151,-0.0037247420555601707,-0.0002843718399716533
s1,pre_s1,0,-0.0004631328978101923,-0.001148596378134581,-0.0004631339454392869
s2,pre_s1,0,-0.00029904673173564156,-0.002981565648780826,-0.0002990468209820296
answer~nonlin,pre_s1,0,-0.0014327050177731504,-0.0014823600206961274,-0.0014327049584585971
s1~nonlin,pre_s1,0,-0.00013385443750268955,-0.0022670416274792604,-0.00013385437619661822
s2~nonlin,pre_s1,0,-0.0014327050177729284,-0.0009139959877932924,-0.001432704958458375
answer,pre_s1,2,0.6908799594408144,-0.010832116797082625,0.6718136759841866
s1,pre_s1,2,0.9907165387453284,-0.007190410346751941,0.9605549084473497
s2,pre_s1,2,0.729037694762924,-0.008219965662683126,0.7113065494348403
answer~nonlin,pre_s1,2,-0.01601819042442476,-0.005129295676451928,-0.0042146473471043056
s1~nonlin,pre_s1,2,0.7369612391109195,-0.009290376634675024,0.6788172930742822
s2~nonlin,pre_s1,2,-0.01601819042442476,-0.007952033267107916,-0.0042146473471043056
answer,pre_s1,4,0.6377438043315944,-0.0055553825078256125,0.6755960737919258
s1,pre_s1,4,0.9965612910564982,-0.0025133891985711365,0.9767964983152373
s2,pre_s1,4,0.6789582981947315,-0.00045858143142396557,0.713463705633054
answer~nonlin,pre_s1,4,-0.006054109122138884,-0.005241920769773811,-0.0016304682842542828
s1~nonlin,pre_s1,4,0.7582445299769434,-0.006876443455777537,0.7031186939381656
s2~nonlin,pre_s1,4,-0.006054109122138662,-0.008397214492346539,-0.0016304682842540608
answer,pre_s1,6,0.6623234419909185,-0.002823107356027421,0.6536639177287311
s1,pre_s1,6,0.9946565567399817,-0.0028761366593128557,0.954666193068462
s2,pre_s1,6,0.6968033596683552,0.002005156330026514,0.6909982622480418
answer~nonlin,pre_s1,6,-0.004768887407092137,-0.0030016399970531626,-0.0013992978479311358
s1~nonlin,pre_s1,6,0.748500689938721,-0.006430705344781629,0.7042375185341273
s2~nonlin,pre_s1,6,-0.004768887407092137,-0.005193019956076128,-0.0013992978479309137
answer,pre_s1,8,0.6847063748057691,-0.005911599022370151,0.6483816861010783
s1,pre_s1,8,0.9936860931106896,-0.002394827333803251,0.9530048790890362
s2,pre_s1,8,0.7053829822037273,0.004829453963556607,0.684046694343705
answer~nonlin,pre_s1,8,-0.0029053250740378456,-0.002977070463195952,-0.001557687445917999
s1~nonlin,pre_s1,8,0.7493621512294941,-0.006438874705124276,0.6839180464667838
s2~nonlin,pre_s1,8,-0.0029053250740376235,-0.005972046699452838,-0.001557687445917777
answer,pre_s1,10,0.8897665777510944,-0.00808200414125504,0.7333897260085993
s1,pre_s1,10,0.9914970547475941,-0.002632105363755466,0.958424688468432
s2,pre_s1,10,0.8965670789812413,0.004188156427303746,0.7645380349998953
answer~nonlin,pre_s1,10,0.015444891801295713,-0.004059993804427453,0.038516601953874186
s1~nonlin,pre_s1,10,0.7443895222744958,-0.007622100496629036,0.7064191451222879
s2~nonlin,pre_s1,10,0.015444891801295713,-0.0053608417756236815,0.03851660195387396
answer,pre_s1,12,0.8914101684969227,-0.009702407422503834,0.7467512162345108
s1,pre_s1,12,0.9858769410297451,-0.0014611694281516652,0.9503978699276531
s2,pre_s1,12,0.894967698035366,0.0034486077951130234,0.7759579957436651
answer~nonlin,pre_s1,12,0.017086456695977636,-0.0031990776432941903,0.020606999008267346
s1~nonlin,pre_s1,12,0.7473998280670052,-0.008940646446394362,0.6948340845877232
s2~nonlin,pre_s1,12,0.017086456695977636,-0.005237075945421221,0.020606999008267346
answer,pre_s1,14,0.8753543650401838,-0.006708288301507714,0.7302342219905126
s1,pre_s1,14,0.986948581663706,0.00038617956705444545,0.9530419838026551
s2,pre_s1,14,0.8813506402064594,0.0038777586505728268,0.7530300191308392
answer~nonlin,pre_s1,14,0.003148358503947457,-0.004752799133943775,-0.0071890170864150615
s1~nonlin,pre_s1,14,0.7525021762453482,-0.011402931635144942,0.6642578132347347
s2~nonlin,pre_s1,14,0.003148358503947235,-0.004678034730443814,-0.0071890170864150615
answer,pre_s1,16,0.9252319658884438,-0.011173044610963023,0.7721017724051069
