target,position,layer,r2,r2_shuffled,r2_random
answer,pre_x,0,-0.0016542967647359408,-0.0032845496431888055,-0.0016542928735736595
x,pre_x,0,-0.00047397201781618215,-0.0034380184342259756,-0.0004739745828552522
c1x,pre_x,0,-0.001176930607882154,-0.0013405293541759455,-0.0011769299131223487
y,pre_x,0,-0.0010711810827757073,-0.002816249698053497,-0.0010711815950048553
c2y,pre_x,0,-0.0018287939846797219,-0.003188638667741772,-0.0018287922185469263
answer~nonlin,pre_x,0,-0.0024158517099683863,-0.0013818710132627032,-0.002415851727610052
x~nonlin,pre_x,0,-0.0009376203415001338,-0.0006329593933518396,-0.0009376205808977467
c1x~nonlin,pre_x,0,-0.0025018779724848006,-0.002459775324986646,-0.0025018779527428148
y~nonlin,pre_x,0,-0.0018619297882844776,-0.000882635107266827,-0.0018619298010493779
c2y~nonlin,pre_x,0,-0.002308918077617239,-0.0016795428175129246,-0.002308918142668759
answer,pre_x,2,-0.00565693696879932,-0.005944418595551948,-0.009449111221912165
x,pre_x,2,0.006547828315888071,-0.0010889804029239336,0.003122181999398288
c1x,pre_x,2,0.002810506861087858,-0.0043984730427768515,0.0012319518018165665
y,pre_x,2,-0.0023624292276691605,-0.0020683338376721316,-0.00385352055542465
c2y,pre_x,2,-0.004971961983777362,-0.004737412975347022,-0.008180177843783776
answer~nonlin,pre_x,2,-0.0037101099718925834,-0.003811608424735935,-0.002445528356488147
x~nonlin,pre_x,2,0.006575837513572935,-0.0032459810958545,0.0009999863792317099
c1x~nonlin,pre_x,2,-0.009614890992594827,-0.015043772066291261,-0.0028054149657288363
y~nonlin,pre_x,2,-0.011021252494605394,-0.005794971953463346,-0.0057105851463947754
c2y~nonlin,pre_x,2,-0.0017633311268205887,-0.0003417097872824293,-0.0022923248820339026
answer,pre_x,4,-0.004863832131853485,-0.0035429786458913703,-0.004925329463830508
x,pre_x,4,0.005422260080975794,-0.0005935534842171908,0.0018460408233119674
c1x,pre_x,4,0.002939451981614827,-0.002941265216011457,0.003369972817114153
y,pre_x,4,-0.0013193009999494798,0.0013761633114219851,-0.0005659592329296803
c2y,pre_x,4,-0.003762623167217871,-0.0048958945264101494,-0.003098355313804646
answer~nonlin,pre_x,4,-0.006390227254275516,-0.0062882761264762,-0.0025466953117443403
x~nonlin,pre_x,4,0.0008871345770197214,-0.002676388869181423,-0.00576643874941607
c1x~nonlin,pre_x,4,-0.00890653859532975,-0.016336894281512526,-0.0030838163441571087
y~nonlin,pre_x,4,-0.009693898656187416,-0.011064653774852884,-0.002351167056959369
c2y~nonlin,pre_x,4,-0.003788592758517284,-0.0006283252892145264,-0.002463004859353024
answer,pre_x,6,0.08653289576183643,-0.005023354304090288,0.04400927463729354
x,pre_x,6,0.19937911368001593,-0.0033731538700814134,0.11338074321477265
c1x,pre_x,6,0.15719431590682775,-0.0025633494531556167,0.08468696584086954
y,pre_x,6,0.14334452145806165,-0.0030371667902271415,0.07775667486749172
c2y,pre_x,6,0.08834229367090596,-0.00880094164413947,0.04295118518920349
answer~nonlin,pre_x,6,-0.0029673081261110124,-0.006441323475039562,-0.0029679825415847017
x~nonlin,pre_x,6,0.07087938254137205,0.001270966085778702,0.0031119523122661308
c1x~nonlin,pre_x,6,-0.002980467099030548,-0.007192904342145479,-0.0058139944649728825
y~nonlin,pre_x,6,-0.0051597195300430165,-0.009959112350673927,-0.002504573100500229
c2y~nonlin,pre_x,6,-0.0007885091048134285,0.0021256463467366205,-0.0029857184441626217
answer,pre_x,8,0.07083960343005047,-0.005780726935603386,0.014227121761304251
x,pre_x,8,0.16138147532794134,-0.00011944021391507853,0.06252884575675388
c1x,pre_x,8,0.12849949175191067,-0.004568164359204818,0.044394197622037224
y,pre_x,8,0.11542125343328302,-0.004369732102311286,0.03440721817854209
c2y,pre_x,8,0.07264443366929785,-0.014119898306671708,0.01832022649811116
answer~nonlin,pre_x,8,0.0012852640835171458,-0.005833655444426711,-0.002413118216519017
x~nonlin,pre_x,8,0.048279208885778635,0.005310251783841591,0.018463282723589214
c1x~nonlin,pre_x,8,-0.0021536003279052363,0.0004357273293236208,-0.005186068638129093
y~nonlin,pre_x,8,-0.0023522024813036335,-0.013436405951002373,-0.003918138879908328
c2y~nonlin,pre_x,8,0.0021180005136255398,0.002831431976480614,-0.0015792525720399464
answer,pre_x,10,0.02605683912363088,-0.008898564169231404,0.01915336539395751
x,pre_x,10,0.03572373842473464,-0.002789080430502633,0.07146610010613541
c1x,pre_x,10,0.02644398929623626,-0.0005481118357320014,0.028691456740914223
y,pre_x,10,0.03551533657114758,-0.008885485861840348,0.04232146522209268
c2y,pre_x,10,0.02489295379771428,-0.016003671930045815,0.022753399925301787
answer~nonlin,pre_x,10,-0.0009904984582354004,-0.012203592120431317,0.00424902708708963
x~nonlin,pre_x,10,0.027101959563867628,0.0029336505042331096,0.04852193754830081
c1x~nonlin,pre_x,10,-0.005269494604120961,-0.0012463124740940135,2.7180203141519144e-05
y~nonlin,pre_x,10,-0.004906186748418584,-0.004608684095818827,-0.00601643501991922
c2y~nonlin,pre_x,10,-0.001206031997000867,0.006462356394861368,0.0062507463987936385
answer,pre_x,12,0.08112736452836544,-0.010738975474536172,0.049676242241561974
x,pre_x,12,0.12846947038803658,0.002204846404609273,0.11191477249361392
c1x,pre_x,12,0.08264236165970962,-0.002658886048966469,0.08051078596737982
y,pre_x,12,0.0900654803571207,-0.00985377469783666,0.07763044677887154
c2y,pre_x,12,0.08430928326385811,-0.015050996208698875,0.053364896601803435
answer~nonlin,pre_x,12,-0.001893982978828923,-0.012066817787930617,-0.009548734179494867
x~nonlin,pre_x,12,0.1053109885095661,0.0010599680498620812,0.042700883910759435
c1x~nonlin,pre_x,12,-0.0022470892547026278,-0.0003896417317774681,-0.003591668443370777
y~nonlin,pre_x,12,-0.005449874579324998,-0.0015825194063083803,-0.0065347738102654596
c2y~nonlin,pre_x,12,-0.0017685440618959714,0.004916416063147966,-0.0060308687578820575
answer,pre_x,14,0.23772336305686104,-0.004897872633805589,0.09158618581948508
x,pre_x,14,0.4104925130430548,0.0003338567820716509,0.20257347456796793
c1x,pre_x,14,0.3252296142165595,-0.00714026963557024,0.15018933243746857
y,pre_x,14,0.2814534490818589,-0.011877068499731136,0.14192485073990957
c2y,pre_x,14,0.2288640204721245,-0.009937514301378014,0.09370469582673191
answer~nonlin,pre_x,14,-0.0065545599072165395,-0.0117865585988981,-0.004244406678330259
x~nonlin,pre_x,14,0.36323265135594507,-0.0025999514636252385,0.14474899214303882
